ref,symbol,company_name,category_number,category,shares
301182,RPL,Roshan Packages Limited,822,PAPER & BOARD,141900000
301220,SEPL,Security Papers Limited,822,PAPER & BOARD,59255985
311040,EXTR,Extraction (Pakistan) Limited,834,VANASPATI & ALLIED INDUSTRIES,1000000
311200,POML,Punjab Oil Mills Limited,834,VANASPATI & ALLIED INDUSTRIES,5390625
311210,SSOM,S.S.Oil Mills Limited,834,VANASPATI & ALLIED INDUSTRIES,5658400
311260,SURAJ,Suraj Ghee Industries Limited,834,VANASPATI & ALLIED INDUSTRIES,958100
321000,BATA,Bata Pakistan Limited,816,LEATHER & TANNERIES,7560000
321010,FIL,Fateh Industries Limited,816,LEATHER & TANNERIES,2000000
321030,LEUL,Leather Up Limited,816,LEATHER & TANNERIES,6000000
321035,SGF,Service GlobalFootwear Limited,816,LEATHER & TANNERIES,204437500
321060,PAKL,Pak Leather Crafts Limited,816,LEATHER & TANNERIES,3400000
321085,SRVI,Service Industries Limited,816,LEATHER & TANNERIES,46987500
331050,ASC,Al Shaheer Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,299938830
331055,PREMA,At-Tahur Limited,810,FOOD & PERSONAL CARE PRODUCTS,198763118
331060,CLOV,Clover Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,31143059
331070,GLPL,Gillette Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,31872000
331080,GIL,Good Luck Industries Ltd.,810,FOOD & PERSONAL CARE PRODUCTS,300000
331090,IBLHL,IBL HealthCare Limited,823,PHARMACEUTICALS,64905126
331092,MACTER,Macter International Limited,823,PHARMACEUTICALS,45811018
331120,ISIL,Ismail Industries Limited,810,FOOD & PERSONAL CARE PRODUCTS,66356940
331125,MFL,Matco Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,122400698
331160,NESTLE,Nestle Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,45349551
331170,MFFL,Mitchells Fruit Farms Limited,810,FOOD & PERSONAL CARE PRODUCTS,22875000
331200,MUREB,Murree Brewery Company Limited,810,FOOD & PERSONAL CARE PRODUCTS,27663631
331220,NATF,National Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,233115250
331240,FFL,Fauji Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,1584088159
331290,QUICE,Quice Food Industries Limited,810,FOOD & PERSONAL CARE PRODUCTS,98461828
331295,UPFL,Unilever Pakistan Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,6369932
331300,RMPL,Rafhan Maize Products Company Limited,810,FOOD & PERSONAL CARE PRODUCTS,9236400
331310,NMFL,Nirala MSR Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,16589500
331320,SHEZ,Shezan International Limited,810,FOOD & PERSONAL CARE PRODUCTS,9663060
331325,TOMCL,The Organic Meat Company Limited,810,FOOD & PERSONAL CARE PRODUCTS,122999555
331420,SCL,Shield Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,3900000
331440,TREET,Treet Corporation Limited,810,FOOD & PERSONAL CARE PRODUCTS,178721122
331523,ZIL,ZIL Limited,810,FOOD & PERSONAL CARE PRODUCTS,6122600
341000,BGL,Balochistan Glass Limited,811,GLASS & CERAMICS,261600000
341040,EMCO,Emco Industries Limited,803,CABLE & ELECTRICAL GOODS,34999667
341060,FRCL,Frontier Ceramics Limited,811,GLASS & CERAMICS,37873821
341065,GHGL,Ghani Glass Limited,811,GLASS & CERAMICS,839391132
341066,GGGL,Ghani Global Glass Limited,811,GLASS & CERAMICS,240000000
341067,GVGL,Ghani Value Glass Limited,811,GLASS & CERAMICS,64441369
341070,KCL,Karam Ceramics Limited,811,GLASS & CERAMICS,14549060
341100,TGL,Tariq Glass Industries Limited,811,GLASS & CERAMICS,137733750
341140,REGAL,Regal Ceramics Limited,811,GLASS & CERAMICS,7300000
341160,STCL,Shabbir Tiles & Ceramics Limited,811,GLASS & CERAMICS,239320475
351000,GAMON,Gammon Pakistan Limited,818,MISCELLANEOUS,28266231
351010,AKGL,Al-Khair Gadoon Limited,818,MISCELLANEOUS,10000000
351020,HADC,Haydari Construction Company Limited,818,MISCELLANEOUS,6400000
351021,ARPAK,Arpak International Investments Ltd.,818,MISCELLANEOUS,4000000
351022,MACFL,MACPAC Films Limited,818,MISCELLANEOUS,59301150
351025,DIIL,Diamond Industries Limited,818,MISCELLANEOUS,9000000
351050,ECOP,Ecopack Limited,818,MISCELLANEOUS,41963843
351060,DCTL,Dadabhoy Construction Technology Limited,818,MISCELLANEOUS,2322800
351080,GOC,GOC (Pak) Limited.,818,MISCELLANEOUS,7348950
351120,HACC,Hashimi Can Company Limited,818,MISCELLANEOUS,1633500
351180,PABC,Pakistan Aluminium Beverage Cans Limited,818,MISCELLANEOUS,361108254
351185,MWMP,Mandviwala Mauser Plastic Industries,818,MISCELLANEOUS,28748133
351187,PACE,Pace (Pakistan) Limited,818,MISCELLANEOUS,278876604
351210,PHDL,Pakistan Hotels Developers Limited,818,MISCELLANEOUS,18000000
351240,PSEL,Pakistan Services Limited,818,MISCELLANEOUS,32524250
351260,AKDHL,AKD Hospitality Limited,818,MISCELLANEOUS,2507273
351270,SHFA,Shifa International Hospitals Limited,818,MISCELLANEOUS,63214383
351275,STPL,Siddiqsons Tin Plate Limited,818,MISCELLANEOUS,229278733
351276,TPLP,TPL Properties Limited,818,MISCELLANEOUS,392871726
351450,TRIPF,Tri-Pack Films Limited,818,MISCELLANEOUS,38800000
351480,UBDL,United Brands Limited,818,MISCELLANEOUS,91800000
351500,UDPL,United Distributors Pakistan Limited,818,MISCELLANEOUS,35271134
400847,NCL-OCTB,Nishat (Chunian) Limited.,40,FUTURE CONTRACTS,0
421343,AWWAL,Awwal Modaraba,819,MODARABAS,100000000
460000,DCR,Dolmen City REIT,836,REAL ESTATE INVESTMENT TRUST,2223700000
470000,UBLPETF,UBLPakistan Enterprise ETF,837,EXCHANGE TRADED FUNDS,3440000
470010,NITGETF,NIT Pakistan Gateway ETF,837,EXCHANGE TRADED FUNDS,4720000
470020,NBPGETF,NBP Pakistan  Growth ETF,837,EXCHANGE TRADED FUNDS,5960000
470030,MZNPETF,Meezan Pakistan ETF,837,EXCHANGE TRADED FUNDS,10680000
470040,JSMFETF,JS Momentum Factor Exchange Traded Fund,837,EXCHANGE TRADED FUNDS,5250000
470050,ACIETF,Alfalah Consumer Index (ETF),837,EXCHANGE TRADED FUNDS,6840000
